id,season,week,season_type,start_date,home_team,home_conference,home_score,away_team,away_conference,away_score,lines
401442005,2022,1,postseason,2022-12-28T03:15:00.000Z,Oklahoma State,Big 12,17,Wisconsin,Big Ten,24,"[{'provider': 'William Hill (New Jersey)', 'spread': 5.0, 'formatted_spread': 'Wisconsin -5', 'spread_open': None, 'over_under': 45.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 5.0, 'formatted_spread': 'Wisconsin -5', 'spread_open': None, 'over_under': 45.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 4.5, 'formatted_spread': 'Wisconsin -4.5', 'spread_open': None, 'over_under': 44.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 5.0, 'formatted_spread': 'Wisconsin -5', 'spread_open': 3.5, 'over_under': 45.0, 'over_under_open': 48.5, 'home_moneyline': None, 'away_moneyline': 135.0}]"
401441998,2022,1,postseason,2022-12-27T17:00:00.000Z,Buffalo,Mid-American,23,Georgia Southern,Sun Belt,21,"[{'provider': 'William Hill (New Jersey)', 'spread': 6.0, 'formatted_spread': 'Georgia Southern -6', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 6.0, 'formatted_spread': 'Georgia Southern -6', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 6.0, 'formatted_spread': 'Georgia Southern -6', 'spread_open': None, 'over_under': 66.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 6.0, 'formatted_spread': 'Georgia Southern -6.0', 'spread_open': 4.0, 'over_under': 67.0, 'over_under_open': 63.5, 'home_moneyline': 150.0, 'away_moneyline': -175.0}]"
401442037,2022,1,postseason,2022-12-26T19:30:00.000Z,Bowling Green,Mid-American,19,New Mexico State,FBS Independents,24,"[{'provider': 'William Hill (New Jersey)', 'spread': -3.0, 'formatted_spread': 'Bowling Green -3', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -3.5, 'formatted_spread': 'Bowling Green -3.5', 'spread_open': None, 'over_under': 50.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'Bowling Green -3.5', 'spread_open': None, 'over_under': 50.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -3.0, 'formatted_spread': 'Bowling Green -3.0', 'spread_open': 1.0, 'over_under': 51.0, 'over_under_open': 49.5, 'home_moneyline': -130.0, 'away_moneyline': 110.0}]"
401442009,2022,1,postseason,2022-12-25T01:00:00.000Z,San Diego State,Mountain West,23,Middle Tennessee,Conference USA,25,"[{'provider': 'William Hill (New Jersey)', 'spread': -7.0, 'formatted_spread': 'San Diego State -7', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -7.0, 'formatted_spread': 'San Diego State -7', 'spread_open': None, 'over_under': 47.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -7.0, 'formatted_spread': 'San Diego State -7', 'spread_open': None, 'over_under': 47.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -7.0, 'formatted_spread': 'San Diego State -7.0', 'spread_open': -3.5, 'over_under': 47.0, 'over_under_open': 47.0, 'home_moneyline': -250.0, 'away_moneyline': 210.0}]"
401442007,2022,1,postseason,2022-12-23T23:30:00.000Z,Missouri,SEC,17,Wake Forest,ACC,27,"[{'provider': 'William Hill (New Jersey)', 'spread': 3.0, 'formatted_spread': 'Wake Forest -3', 'spread_open': None, 'over_under': 59.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 2.5, 'formatted_spread': 'Wake Forest -2.5', 'spread_open': None, 'over_under': 58.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 2.5, 'formatted_spread': 'Wake Forest -2.5', 'spread_open': None, 'over_under': 58.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 3.0, 'formatted_spread': 'Wake Forest -3.0', 'spread_open': 3.5, 'over_under': 59.0, 'over_under_open': 62.0, 'home_moneyline': 120.0, 'away_moneyline': -140.0}]"
401442039,2022,1,postseason,2022-12-22T02:00:00.000Z,South Alabama,Sun Belt,23,Western Kentucky,Conference USA,44,"[{'provider': 'William Hill (New Jersey)', 'spread': -4.0, 'formatted_spread': 'South Alabama -4', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -3.5, 'formatted_spread': 'South Alabama -3.5', 'spread_open': None, 'over_under': 57.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'South Alabama -3.5', 'spread_open': None, 'over_under': 58.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'South Alabama -4', 'spread_open': -5.0, 'over_under': 58.0, 'over_under_open': 60.5, 'home_moneyline': 175.0, 'away_moneyline': -210.0}]"
401442006,2022,1,postseason,2022-12-21T00:30:00.000Z,Toledo,Mid-American,21,Liberty,FBS Independents,19,"[{'provider': 'William Hill (New Jersey)', 'spread': -3.5, 'formatted_spread': 'Toledo -3.5', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -3.5, 'formatted_spread': 'Toledo -3.5', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'Toledo -3.5', 'spread_open': None, 'over_under': 51.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -4.0, 'formatted_spread': 'Toledo -4', 'spread_open': -1.5, 'over_under': 51.5, 'over_under_open': 54.0, 'home_moneyline': 160.0, 'away_moneyline': -185.0}]"
401442004,2022,1,postseason,2022-12-20T20:30:00.000Z,San José State,Mountain West,27,Eastern Michigan,Mid-American,41,"[{'provider': 'William Hill (New Jersey)', 'spread': -3.5, 'formatted_spread': 'San José State -3.5', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -3.5, 'formatted_spread': 'San José State -3.5', 'spread_open': None, 'over_under': 54.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -3.5, 'formatted_spread': 'San José State -3.5', 'spread_open': None, 'over_under': 54.5, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -3.5, 'formatted_spread': 'San José State -3.5', 'spread_open': -4.5, 'over_under': 54.0, 'over_under_open': 53.5, 'home_moneyline': -175.0, 'away_moneyline': 150.0}]"
401442003,2022,1,postseason,2022-12-19T19:30:00.000Z,Connecticut,FBS Independents,14,Marshall,Sun Belt,28,"[{'provider': 'William Hill (New Jersey)', 'spread': 12.0, 'formatted_spread': 'Marshall -12', 'spread_open': None, 'over_under': 42.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': 12.5, 'formatted_spread': 'Marshall -12.5', 'spread_open': None, 'over_under': 42.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': 12.5, 'formatted_spread': 'Marshall -12.5', 'spread_open': None, 'over_under': 42.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': 11.5, 'formatted_spread': 'Marshall -11.5', 'spread_open': 10.5, 'over_under': 42.0, 'over_under_open': 40.0, 'home_moneyline': -360.0, 'away_moneyline': 280.0}]"
401442001,2022,1,postseason,2022-12-18T02:15:00.000Z,Boise State,Mountain West,35,North Texas,Conference USA,32,"[{'provider': 'William Hill (New Jersey)', 'spread': -12.0, 'formatted_spread': 'Boise State -12', 'spread_open': None, 'over_under': 64.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'consensus', 'spread': -11.5, 'formatted_spread': 'Boise State -11.5', 'spread_open': None, 'over_under': 63.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'teamrankings', 'spread': -11.5, 'formatted_spread': 'Boise State -11.5', 'spread_open': None, 'over_under': 63.0, 'over_under_open': None, 'home_moneyline': None, 'away_moneyline': None}, {'provider': 'Bovada', 'spread': -12.0, 'formatted_spread': 'Boise State -12', 'spread_open': -8.5, 'over_under': 63.0, 'over_under_open': 55.5, 'home_moneyline': 300.0, 'away_moneyline': -400.0}]"
