season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2015.0,San Diego State,American Athletic,42.0,Cincinnati,Mountain West,7.0,1,2.0,San Diego State,,56.5,'consensus'
2015.0,Marshall,Conference USA,16.0,Connecticut,American Athletic,10.0,1,-3.0,Marshall,,44.5,'consensus'
2015.0,Washington State,Pac-12,20.0,Miami,ACC,14.0,1,-1.5,Washington State,,62.0,'consensus'
2015.0,Utah,Pac-12,35.0,BYU,FBS Independents,28.0,1,-2.5,Utah,,49.5,'consensus'
2015.0,Arizona,Mountain West,45.0,New Mexico,Pac-12,37.0,1,9.0,Arizona,,65.0,'consensus'
2015.0,Appalachian State,Sun Belt,31.0,Ohio,Mid-American,29.0,1,-7.0,Appalachian State,,55.0,'consensus'
2015.0,San José State,Sun Belt,27.0,Georgia State,Mountain West,16.0,1,1.0,San José State,,55.0,'consensus'
2015.0,Louisiana Tech,Conference USA,47.0,Arkansas State,Sun Belt,28.0,1,-1.0,Louisiana Tech,,65.0,'consensus'
2015.0,Western Kentucky,American Athletic,45.0,South Florida,Conference USA,35.0,1,3.0,Western Kentucky,,68.0,'consensus'
2015.0,Toledo,Mid-American,32.0,Temple,American Athletic,17.0,0,1.5,Temple,,49.5,'consensus'
2015.0,Akron,Mountain West,23.0,Utah State,Mid-American,21.0,0,-7.5,Utah State,,47.0,'consensus'
2015.0,Boise State,Mid-American,55.0,Northern Illinois,Mountain West,7.0,1,6.5,Boise State,,57.0,'consensus'
2015.0,Georgia Southern,Mid-American,58.0,Bowling Green,Sun Belt,27.0,0,-4.5,Bowling Green,,62.5,'consensus'
2015.0,Washington,Conference USA,44.0,Southern Mississippi,Pac-12,31.0,1,7.5,Washington,,51.5,'consensus'
2015.0,Duke,ACC,44.0,Indiana,Big Ten,41.0,0,3.0,Indiana,,72.5,'consensus'
2015.0,Virginia Tech,ACC,55.0,Tulsa,American Athletic,52.0,1,-14.0,Virginia Tech,,62.0,'consensus'
