white_username,black_username,opening,score_white,score_black,result_white,result_black,time_class,time_control,rating_white,rating_black,accuracy_white,accuracy_black,start_time,end_time,game_length,total_moves,avg_move_time,UTC_date,white_<1,white_2,white_5,white_15,white_>15,black_<1,black_2,black_5,black_15,black_>15
Jospem,Hikaru,Kings-Indian-Attack-Double-Fianchetto-Pachman-System,0,1,resigned,win,blitz,180,3020,3192,87.66,88.9,16:21:28,16:28:03,395.0,89,4.44,2023.01.11,19,52,11,5,1,25,45,9,9,0
Hikaru,Jospem,Sicilian-Defense-Delayed-Alapin-Variation,1,0,win,resigned,blitz,180,3196,3016,82.76,79.33,16:27:52,16:33:45,353.0,53,6.66,2023.01.11,5,29,8,10,0,7,23,13,6,2
Jospem,Hikaru,Kings-Indian-Attack-Double-Fianchetto-Pachman-System,0.5,0.5,repetition,repetition,blitz,180,3020,3192,93.3,91.94,16:33:40,16:38:54,314.0,43,7.3,2023.01.11,11,20,6,3,2,4,21,7,9,1
Hikaru,Jospem,Nimzo-Indian-Defense-Classical-Variation,1,0,win,resigned,blitz,180,3196,3016,84.9,82.72,16:38:36,16:44:37,361.0,77,4.69,2023.01.11,14,45,11,6,0,16,36,15,7,1
Jospem,Hikaru,Caro-Kann-Defense-Breyer-Variation,0,1,resigned,win,blitz,180,3012,3200,79.16,85.41,16:44:27,16:50:19,352.0,57,6.18,2023.01.11,16,21,7,11,1,7,30,13,5,1
Hikaru,mitrabhaa,Caro-Kann-Defense,1,0,win,resigned,blitz,180,3202,2893,81.71,71.69,19:11:01,19:13:28,147.0,19,7.74,2023.01.16,3,8,4,3,0,1,7,6,1,2
mitrabhaa,Hikaru,Dutch-Defense-Raphael-Variation,0,1,resigned,win,blitz,180,2891,3204,85.68,92.62,19:13:31,19:17:15,224.0,25,8.96,2023.01.16,1,7,11,5,0,5,6,6,6,1
Hikaru,mitrabhaa,Reti-Opening-Nimzo-Larsen-Variation,1,0,win,checkmated,blitz,180,3206,2889,84.94,80.61,19:17:16,19:23:56,400.0,92,4.35,2023.01.16,32,39,15,3,2,33,39,11,5,2
mitrabhaa,Hikaru,Dutch-Defense-Hopton-Attack,0,1,resigned,win,blitz,180,2887,3208,77.78,80.67,19:23:54,19:30:14,380.0,76,5.0,2023.01.16,16,37,14,8,0,15,39,15,5,1
Hikaru,mitrabhaa,Reti-Opening-Nimzo-Larsen-Variation,0,1,resigned,win,blitz,180,3194,2901,82.12,85.51,19:30:13,19:35:35,322.0,58,5.55,2023.01.16,12,28,11,5,1,7,33,9,6,1
mitrabhaa,Hikaru,Dutch-Defense-Queens-Knight-Variation,0,1,resigned,win,blitz,180,2898,3197,74.16,79.72,19:35:42,19:40:55,313.0,41,7.63,2023.01.16,4,18,9,7,2,5,19,10,6,0
Hikaru,mitrabhaa,Caro-Kann-Defense-Two-Knights-Attack,1,0,win,resigned,blitz,180,3199,2896,82.95,78.52,19:40:54,19:45:30,276.0,43,6.42,2023.01.16,6,22,12,0,2,4,22,11,3,1
